date_time,date,power
30/01/17 15:30,01/30/2017,987.5183599
30/01/17 16:30,01/30/2017,1159.148453
30/01/17 17:30,01/30/2017,530.5990429
30/01/17 18:30,01/30/2017,519.7613894
30/01/17 19:30,01/30/2017,355.9670123
30/01/17 20:30,01/30/2017,382.8646898
30/01/17 21:30,01/30/2017,462.7364853
30/01/17 22:30,01/30/2017,572.411052
30/01/17 23:30,01/30/2017,387.7391176
31/01/17 0:30,01/31/2017,1459.217172
31/01/17 1:30,01/31/2017,1081.389715
31/01/17 2:30,01/31/2017,1073.971423
31/01/17 3:30,01/31/2017,278.6152711
31/01/17 4:30,01/31/2017,585.004306
31/01/17 5:30,01/31/2017,561.5133364
31/01/17 6:30,01/31/2017,415.0393088
31/01/17 7:30,01/31/2017,505.7077708
31/01/17 8:30,01/31/2017,450.9774445
31/01/17 9:30,01/31/2017,325.9933295
31/01/17 10:30,01/31/2017,487.1850553
31/01/17 11:30,01/31/2017,522.5922448
31/01/17 12:30,01/31/2017,622.7196042
31/01/17 13:30,01/31/2017,870.4081156
31/01/17 14:30,01/31/2017,547.0169302
31/01/17 15:30,01/31/2017,403.3475924
31/01/17 16:30,01/31/2017,769.6853731
31/01/17 17:30,01/31/2017,703.3725745
31/01/17 18:30,01/31/2017,415.4142252
31/01/17 19:30,01/31/2017,370.0542608
31/01/17 20:30,01/31/2017,296.9693778
31/01/17 21:30,01/31/2017,295.5065454
31/01/17 22:30,01/31/2017,293.6134176
31/01/17 23:30,01/31/2017,377.0194376
01/02/17 0:30,02/01/17,1502.432226
01/02/17 1:30,02/01/17,750.5782145
01/02/17 2:30,02/01/17,1780.323988
01/02/17 3:30,02/01/17,464.1534687
01/02/17 4:30,02/01/17,409.7799936
01/02/17 5:30,02/01/17,231.1064531
01/02/17 6:30,02/01/17,176.0240102
01/02/17 7:30,02/01/17,169.2967988
01/02/17 8:30,02/01/17,452.2243408
01/02/17 9:30,02/01/17,352.0764451
01/02/17 10:30,02/01/17,391.6107458
01/02/17 11:30,02/01/17,384.3248445
01/02/17 12:30,02/01/17,489.9825866
01/02/17 13:30,02/01/17,812.3514245
01/02/17 14:30,02/01/17,731.1645985
01/02/17 15:30,02/01/17,684.4908834
01/02/17 16:30,02/01/17,806.3865864
01/02/17 17:30,02/01/17,1081.714276
01/02/17 18:30,02/01/17,705.2747936
01/02/17 19:30,02/01/17,311.3788618
01/02/17 20:30,02/01/17,288.1933113
01/02/17 21:30,02/01/17,265.6547623
01/02/17 22:30,02/01/17,294.6452996
01/02/17 23:30,02/01/17,287.0069825
02/02/17 0:30,02/02/17,2243.4862
02/02/17 1:30,02/02/17,1388.000793
02/02/17 2:30,02/02/17,391.5202584
02/02/17 3:30,02/02/17,274.3536866
02/02/17 4:30,02/02/17,197.0085419
02/02/17 5:30,02/02/17,261.2638011
02/02/17 6:30,02/02/17,153.2368809
02/02/17 7:30,02/02/17,422.8766662
02/02/17 8:30,02/02/17,654.7440395
02/02/17 9:30,02/02/17,553.1729422
02/02/17 10:30,02/02/17,391.6327106
02/02/17 11:30,02/02/17,503.0080583
02/02/17 12:30,02/02/17,419.78505
02/02/17 13:30,02/02/17,928.076655
02/02/17 14:30,02/02/17,493.6802692
02/02/17 15:30,02/02/17,609.1675727
02/02/17 16:30,02/02/17,487.4619221
02/02/17 17:30,02/02/17,346.4583116
02/02/17 18:30,02/02/17,608.9375874
02/02/17 19:30,02/02/17,356.7133516
02/02/17 20:30,02/02/17,522.9715759
02/02/17 21:30,02/02/17,536.3996695
02/02/17 22:30,02/02/17,385.2560315
02/02/17 23:30,02/02/17,470.3066359
03/02/17 0:30,02/03/17,651.6052448
03/02/17 1:30,02/03/17,4856.874319
03/02/17 2:30,02/03/17,188.6397187
03/02/17 3:30,02/03/17,206.4975601
03/02/17 4:30,02/03/17,243.0875235
03/02/17 5:30,02/03/17,282.6319647
03/02/17 6:30,02/03/17,156.1933719
03/02/17 7:30,02/03/17,154.2672805
03/02/17 8:30,02/03/17,150.8962005
03/02/17 9:30,02/03/17,161.5949036
03/02/17 10:30,02/03/17,167.3213336
03/02/17 11:30,02/03/17,294.6469462
03/02/17 12:30,02/03/17,296.6241033
03/02/17 13:30,02/03/17,169.2139003
03/02/17 14:30,02/03/17,162.0385727
03/02/17 15:30,02/03/17,161.0520476
03/02/17 16:30,02/03/17,158.9874488
03/02/17 17:30,02/03/17,159.0724326
03/02/17 18:30,02/03/17,159.9359249
03/02/17 19:30,02/03/17,158.7610132
03/02/17 20:30,02/03/17,156.8851379
03/02/17 21:30,02/03/17,155.0049124
03/02/17 22:30,02/03/17,156.5638621
03/02/17 23:30,02/03/17,154.2004256
06/02/17 0:30,02/06/17,147.1876315
06/02/17 1:30,02/06/17,148.3887283
06/02/17 2:30,02/06/17,143.5953308
06/02/17 3:30,02/06/17,199.1054656
06/02/17 4:30,02/06/17,275.425572
06/02/17 5:30,02/06/17,155.3255828
06/02/17 6:30,02/06/17,152.8423013
06/02/17 7:30,02/06/17,157.253139
06/02/17 8:30,02/06/17,151.7202647
06/02/17 9:30,02/06/17,151.2741882
06/02/17 10:30,02/06/17,152.1325528
06/02/17 11:30,02/06/17,153.6191511
06/02/17 12:30,02/06/17,145.2988561
06/02/17 13:30,02/06/17,136.9617625
06/02/17 14:30,02/06/17,128.5175152
06/02/17 15:30,02/06/17,132.2700403
06/02/17 16:30,02/06/17,128.8500606
06/02/17 17:30,02/06/17,343.8476346
06/02/17 18:30,02/06/17,165.1234016
06/02/17 19:30,02/06/17,143.3780293
06/02/17 20:30,02/06/17,152.2421763
06/02/17 21:30,02/06/17,152.4207414
06/02/17 22:30,02/06/17,149.0473894
06/02/17 23:30,02/06/17,145.2048082
07/02/17 0:30,02/07/17,140.9927384
07/02/17 1:30,02/07/17,138.1484855
07/02/17 2:30,02/07/17,131.7750646
07/02/17 3:30,02/07/17,132.9637656
07/02/17 4:30,02/07/17,155.358265
07/02/17 5:30,02/07/17,220.4125681
07/02/17 6:30,02/07/17,138.5139115
