,date_time,date,power
348,30/01/17 18:30,01/30/2017,519.7613894
349,30/01/17 19:30,01/30/2017,355.9670123
350,30/01/17 20:30,01/30/2017,382.8646898
351,30/01/17 21:30,01/30/2017,462.7364853
352,30/01/17 22:30,01/30/2017,572.411052
353,30/01/17 23:30,01/30/2017,387.7391176
354,31/01/17 0:30,01/31/2017,1459.217172
355,31/01/17 1:30,01/31/2017,1081.389715
356,31/01/17 2:30,01/31/2017,1073.971423
357,31/01/17 3:30,01/31/2017,278.6152711
358,31/01/17 4:30,01/31/2017,585.004306
359,31/01/17 5:30,01/31/2017,561.5133364
360,31/01/17 6:30,01/31/2017,415.0393088
361,31/01/17 7:30,01/31/2017,505.7077708
362,31/01/17 8:30,01/31/2017,450.9774445
363,31/01/17 9:30,01/31/2017,325.9933295
364,31/01/17 10:30,01/31/2017,487.1850553
365,31/01/17 11:30,01/31/2017,522.5922448
366,31/01/17 12:30,01/31/2017,622.7196042
367,31/01/17 13:30,01/31/2017,870.4081156
368,31/01/17 14:30,01/31/2017,547.0169302
369,31/01/17 15:30,01/31/2017,403.3475924
370,31/01/17 16:30,01/31/2017,769.6853731
371,31/01/17 17:30,01/31/2017,703.3725745
372,31/01/17 18:30,01/31/2017,415.4142252
373,31/01/17 19:30,01/31/2017,370.0542608
374,31/01/17 20:30,01/31/2017,296.9693778
375,31/01/17 21:30,01/31/2017,295.5065454
376,31/01/17 22:30,01/31/2017,293.6134176
377,31/01/17 23:30,01/31/2017,377.0194376
378,01/02/17 0:30,02/01/17,1502.432226
379,01/02/17 1:30,02/01/17,750.5782145
380,01/02/17 2:30,02/01/17,1780.323988
381,01/02/17 3:30,02/01/17,464.1534687
382,01/02/17 4:30,02/01/17,409.7799936
383,01/02/17 5:30,02/01/17,231.1064531
384,01/02/17 6:30,02/01/17,176.0240102
385,01/02/17 7:30,02/01/17,169.2967988
386,01/02/17 8:30,02/01/17,452.2243408
387,01/02/17 9:30,02/01/17,352.0764451
388,01/02/17 10:30,02/01/17,391.6107458
389,01/02/17 11:30,02/01/17,384.3248445
390,01/02/17 12:30,02/01/17,489.9825866
391,01/02/17 13:30,02/01/17,812.3514245
392,01/02/17 14:30,02/01/17,731.1645985
393,01/02/17 15:30,02/01/17,684.4908834
394,01/02/17 16:30,02/01/17,806.3865864
395,01/02/17 17:30,02/01/17,1081.714276
396,01/02/17 18:30,02/01/17,705.2747936
397,01/02/17 19:30,02/01/17,311.3788618
398,01/02/17 20:30,02/01/17,288.1933113
399,01/02/17 21:30,02/01/17,265.6547623
400,01/02/17 22:30,02/01/17,294.6452996
401,01/02/17 23:30,02/01/17,287.0069825
402,02/02/17 0:30,02/02/17,2243.4862
403,02/02/17 1:30,02/02/17,1388.000793
404,02/02/17 2:30,02/02/17,391.5202584
405,02/02/17 3:30,02/02/17,274.3536866
406,02/02/17 4:30,02/02/17,197.0085419
407,02/02/17 5:30,02/02/17,261.2638011
408,02/02/17 6:30,02/02/17,153.2368809
409,02/02/17 7:30,02/02/17,422.8766662
410,02/02/17 8:30,02/02/17,654.7440395
411,02/02/17 9:30,02/02/17,553.1729422
412,02/02/17 10:30,02/02/17,391.6327106
413,02/02/17 11:30,02/02/17,503.0080583
414,02/02/17 12:30,02/02/17,419.78505
415,02/02/17 13:30,02/02/17,928.076655
416,02/02/17 14:30,02/02/17,493.6802692
417,02/02/17 15:30,02/02/17,609.1675727
418,02/02/17 16:30,02/02/17,487.4619221
419,02/02/17 17:30,02/02/17,346.4583116
420,02/02/17 18:30,02/02/17,608.9375874
421,02/02/17 19:30,02/02/17,356.7133516
422,02/02/17 20:30,02/02/17,522.9715759
423,02/02/17 21:30,02/02/17,536.3996695
424,02/02/17 22:30,02/02/17,385.2560315
425,02/02/17 23:30,02/02/17,470.3066359
426,03/02/17 0:30,02/03/17,651.6052448
427,03/02/17 1:30,02/03/17,4856.874319
428,03/02/17 2:30,02/03/17,188.6397187
429,03/02/17 3:30,02/03/17,206.4975601
430,03/02/17 4:30,02/03/17,243.0875235
431,03/02/17 5:30,02/03/17,282.6319647
432,03/02/17 6:30,02/03/17,156.1933719
433,03/02/17 7:30,02/03/17,154.2672805
434,03/02/17 8:30,02/03/17,150.8962005
435,03/02/17 9:30,02/03/17,161.5949036
436,03/02/17 10:30,02/03/17,167.3213336
437,03/02/17 11:30,02/03/17,294.6469462
438,03/02/17 12:30,02/03/17,296.6241033
439,03/02/17 13:30,02/03/17,169.2139003
440,03/02/17 14:30,02/03/17,162.0385727
441,03/02/17 15:30,02/03/17,161.0520476
442,03/02/17 16:30,02/03/17,158.9874488
443,03/02/17 17:30,02/03/17,159.0724326
444,03/02/17 18:30,02/03/17,159.9359249
445,03/02/17 19:30,02/03/17,158.7610132
446,03/02/17 20:30,02/03/17,156.8851379
447,03/02/17 21:30,02/03/17,155.0049124
448,03/02/17 22:30,02/03/17,156.5638621
449,03/02/17 23:30,02/03/17,154.2004256
450,06/02/17 0:30,02/06/17,147.1876315
451,06/02/17 1:30,02/06/17,148.3887283
452,06/02/17 2:30,02/06/17,143.5953308
453,06/02/17 3:30,02/06/17,199.1054656
454,06/02/17 4:30,02/06/17,275.425572
455,06/02/17 5:30,02/06/17,155.3255828
456,06/02/17 6:30,02/06/17,152.8423013
457,06/02/17 7:30,02/06/17,157.253139
458,06/02/17 8:30,02/06/17,151.7202647
459,06/02/17 9:30,02/06/17,151.2741882
460,06/02/17 10:30,02/06/17,152.1325528
461,06/02/17 11:30,02/06/17,153.6191511
462,06/02/17 12:30,02/06/17,145.2988561
463,06/02/17 13:30,02/06/17,136.9617625
464,06/02/17 14:30,02/06/17,128.5175152
465,06/02/17 15:30,02/06/17,132.2700403
466,06/02/17 16:30,02/06/17,128.8500606
467,06/02/17 17:30,02/06/17,343.8476346
468,06/02/17 18:30,02/06/17,165.1234016
469,06/02/17 19:30,02/06/17,143.3780293
470,06/02/17 20:30,02/06/17,152.2421763
471,06/02/17 21:30,02/06/17,152.4207414
472,06/02/17 22:30,02/06/17,149.0473894
473,06/02/17 23:30,02/06/17,145.2048082
474,07/02/17 0:30,02/07/17,140.9927384
475,07/02/17 1:30,02/07/17,138.1484855
476,07/02/17 2:30,02/07/17,131.7750646
477,07/02/17 3:30,02/07/17,132.9637656
478,07/02/17 4:30,02/07/17,155.358265
479,07/02/17 5:30,02/07/17,220.4125681
480,07/02/17 6:30,02/07/17,138.5139115
481,07/02/17 7:30,02/07/17,132.515319
482,07/02/17 8:30,02/07/17,132.0414398
483,07/02/17 9:30,02/07/17,132.1315587
484,07/02/17 10:30,02/07/17,132.579668
485,07/02/17 11:30,02/07/17,131.9953336
486,07/02/17 12:30,02/07/17,133.3628997
487,07/02/17 13:30,02/07/17,124.0944977
488,07/02/17 14:30,02/07/17,332.031139
489,07/02/17 15:30,02/07/17,169.6661346
490,07/02/17 16:30,02/07/17,165.9142489
491,07/02/17 17:30,02/07/17,155.9148541
492,07/02/17 18:30,02/07/17,153.9107945
493,07/02/17 19:30,02/07/17,150.468875
494,07/02/17 20:30,02/07/17,154.0891096
495,07/02/17 21:30,02/07/17,149.1677371
496,07/02/17 22:30,02/07/17,149.9799001
497,07/02/17 23:30,02/07/17,146.0391911
498,08/03/17 0:30,03/08/17,286.8539312
499,08/03/17 1:30,03/08/17,855.1967156
500,08/03/17 2:30,03/08/17,242.860703
501,08/03/17 3:30,03/08/17,257.8649329
502,08/03/17 4:30,03/08/17,207.7326004
503,08/03/17 5:30,03/08/17,205.7190854
504,08/03/17 6:30,03/08/17,245.3542686
505,08/03/17 7:30,03/08/17,441.4307235
506,08/03/17 8:30,03/08/17,506.005429
507,08/03/17 9:30,03/08/17,538.0006828
508,08/03/17 10:30,03/08/17,365.6728606
509,08/03/17 11:30,03/08/17,287.20192
510,08/03/17 12:30,03/08/17,213.8943769
511,08/03/17 13:30,03/08/17,357.8832113
512,08/03/17 14:30,03/08/17,532.8269269
513,08/03/17 15:30,03/08/17,608.2230164
