TS,V1,V2,V3,W1,W2,W3,Virtual_Apartment,date_time,day,date,time,power
1482190200,238.721546,241.8843515,238.6856028,55.23285784,32.25668751,65.68683723,3,19/12/16 23:30,4,12/19/2016,23:30:00,153.1763826
1482193800,236.1980031,237.7907403,236.4468419,68.9397376,419.9470981,161.8883709,3,20/12/16 0:30,5,12/20/2016,0:30:00,650.7752066
1482197400,232.9865582,233.9647812,233.5392641,38.43967823,720.5996927,68.81972007,3,20/12/16 1:30,5,12/20/2016,1:30:00,827.859091
1482201000,230.0835508,232.7626877,231.878684,36.95741276,82.14621216,101.5891145,3,20/12/16 2:30,5,12/20/2016,2:30:00,220.6927394
1482204600,230.3453011,230.9773535,231.39636,14.4932453,5.141610699,67.78556739,3,20/12/16 3:30,5,12/20/2016,3:30:00,87.4204234
1482208200,229.0597691,231.3763919,229.3733002,0,0.037258034,74.91311989,3,20/12/16 4:30,5,12/20/2016,4:30:00,74.95037792
1482211800,229.1601734,231.2606295,230.5907252,5.635809905,14.587208,52.27936351,3,20/12/16 5:30,5,12/20/2016,5:30:00,72.50238141
1482215400,232.4490232,233.8363817,232.1294017,0,0,30.90559494,3,20/12/16 6:30,5,12/20/2016,6:30:00,30.90559494
1482219000,235.4227985,237.3608916,235.9740563,8.389643517,0,103.6965727,3,20/12/16 7:30,5,12/20/2016,7:30:00,112.0862163
1482222600,232.6200809,234.8007546,233.197378,146.1491426,15.61030334,131.4529954,3,20/12/16 8:30,5,12/20/2016,8:30:00,293.2124413
1482226200,232.3653798,234.5019871,232.7784974,0,53.89213258,117.9626001,3,20/12/16 9:30,5,12/20/2016,9:30:00,171.8547327
1482229800,232.2013575,233.6475308,232.3740178,0,12.2098794,127.0743971,3,20/12/16 10:30,5,12/20/2016,10:30:00,139.2842765
1482233400,235.6408086,237.9684709,235.7865081,3.194964972,17.45011562,131.8665218,3,20/12/16 11:30,5,12/20/2016,11:30:00,152.5116024
1482237000,231.2501173,234.3058219,232.3150776,0,33.23444217,58.95415538,3,20/12/16 12:30,5,12/20/2016,12:30:00,92.18859755
1482240600,235.9251402,238.7837887,235.9710016,40.62016291,87.10815799,121.295774,3,20/12/16 13:30,5,12/20/2016,13:30:00,249.0240949
1482244200,238.4965895,242.3914223,239.457822,121.4027301,72.61040926,153.2280023,3,20/12/16 14:30,5,12/20/2016,14:30:00,347.2411416
1482247800,239.5317521,243.2026167,240.9282746,97.3307865,94.38235224,137.7358765,3,20/12/16 15:30,5,12/20/2016,15:30:00,329.4490152
1482251400,239.5412802,242.8171914,240.4289041,21.98476927,29.10482505,89.4915685,3,20/12/16 16:30,5,12/20/2016,16:30:00,140.5811628
